thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier,verify_setup_ms
theo_d,2,1,true,2,8,offchain,4,0,0.937100,87.248500,133.348500,134.285600,5.331500,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,58.154900
theo_d,2,2,true,2,8,offchain,4,1,0.675900,76.834800,126.471600,127.147500,6.185100,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,61.329800
theo_d,2,3,true,2,8,offchain,4,2,0.865500,83.753300,144.597400,145.462900,5.503300,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,60.505300
theo_d,2,4,false,2,8,offchain,4,0,1.226600,81.089900,137.413700,138.640300,5.552600,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,66.223700
theo_d,2,5,false,2,8,offchain,4,1,0.685500,81.192300,131.707500,132.393000,5.522600,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,58.959300
theo_d,2,6,false,2,8,offchain,4,2,0.680100,85.559800,134.889300,135.569400,5.571400,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,60.365500
theo_d,2,7,false,2,8,offchain,4,3,0.697000,88.727000,154.305000,155.002000,6.462300,true,3008,,0x27a69fb66b0d9c305abed20d73bd73994982ca2286e4d54f8ace10cf98cb0292,0x2ee3eca2a8acabb5247f13a7dc5bb5745525229c9b0fb6af8461f8add9d6ea42,78.520000
