thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier,verify_setup_ms
theo_n,3,1,true,9,9,offchain,100,0,1.154000,106.271300,164.064000,165.218000,6.353100,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x256c0db357b8eaa4a8fb7783a756bee3ca258df54d468f4e7444efeb70a17b38,81.431700
theo_n,3,2,true,9,9,offchain,100,1,1.297400,168.013400,191.609700,192.907100,7.134700,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x0444ec50ad59ae4d814d885b6d692c796a9cfbd1e2cdd91bce502b9d61ecc47e,94.055100
theo_n,3,3,true,9,9,offchain,100,2,1.487900,122.193500,201.128300,202.616200,6.896200,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3e3b9c7f3520022e1a51cb438a5ed7b816a14df84fb8857d3b4b3787aac2909a,96.596400
theo_n,3,4,false,9,9,offchain,100,0,1.392200,120.600700,201.037200,202.429400,6.854200,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x256c0db357b8eaa4a8fb7783a756bee3ca258df54d468f4e7444efeb70a17b38,95.505200
theo_n,3,5,false,9,9,offchain,100,1,1.365100,125.037800,204.881800,206.246900,7.281800,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x0444ec50ad59ae4d814d885b6d692c796a9cfbd1e2cdd91bce502b9d61ecc47e,96.031400
theo_n,3,6,false,9,9,offchain,100,2,1.440500,125.437700,202.520500,203.961000,7.119400,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3e3b9c7f3520022e1a51cb438a5ed7b816a14df84fb8857d3b4b3787aac2909a,94.890200
theo_n,3,7,false,9,9,offchain,100,3,1.405400,125.914500,204.046300,205.451700,6.989900,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x34c900efed61387542aa9a976f50c1e3a4649a6d5639ef8d1ade66333262a62b,95.973300
theo_n,3,8,false,9,9,offchain,100,4,1.399300,126.407400,207.520200,208.919500,7.195600,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x098ea71e6b70ae0df350c08d578faefd558865c1ae5f166fd4dd68b31c5ceb23,95.925400
theo_n,3,9,false,9,9,offchain,100,5,1.416000,127.460100,204.375800,205.791800,7.220400,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x39dc2ae46706efb599739de5b12d26364b3600bab319f35b4070fda91bf8fd70,93.599400
theo_n,3,10,false,9,9,offchain,100,6,1.369900,125.988300,202.412600,203.782500,7.077100,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x08970b9c638db390a2de28927809ba73627020f3355ad73a74a4a88a9e371ffd,94.233100
theo_n,3,11,false,9,9,offchain,100,7,1.698800,127.846900,206.038300,207.737100,7.247100,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x17d4bc2bacc9d00a4ff5deea2c47ba3645284e25738eb604bcfd1f99b64d17d5,94.477800
theo_n,3,12,false,9,9,offchain,100,8,1.424800,127.602500,205.364600,206.789400,7.230900,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x025e8ff8bfc5cd9a1067045da747ffee740046c28aedb1271eadbf95d01ebad1,96.086800
theo_n,3,13,false,9,9,offchain,100,9,1.521200,129.435100,206.277300,207.798500,7.164400,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1eed13c4a0558798dcedbf382f440862e2e161e72252445851544bf931bc962e,98.946500
theo_n,3,14,false,9,9,offchain,100,10,1.670300,128.670100,210.229800,211.900100,7.182100,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x02fcf7e0a4de7d6f8d5ed9f613528e45460ccf285e58cb7db53f95f0837bc5a4,95.832400
theo_n,3,15,false,9,9,offchain,100,11,1.435400,128.203200,205.166300,206.601700,6.877100,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x26e6c50b3128a96175e94d050d57d623c79cc8cca2ce6d048a20165d29c8e1ed,92.871700
theo_n,3,16,false,9,9,offchain,100,12,1.439000,183.682900,204.055600,205.494600,7.211700,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x30abd1c7c9b102938680ddaaf132b3a12f77da14abe1aa0de9c993d485bc022e,94.116600
theo_n,3,17,false,9,9,offchain,100,13,1.410700,124.330600,204.395400,205.806100,7.302600,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x128c7d22c540953da903404df4b2751c554bfa719540bb08e0b570bc46771092,94.801600
theo_n,3,18,false,9,9,offchain,100,14,1.453400,125.797800,210.593300,212.046700,7.350900,true,3104,,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x2fcbe5fc22e41a05fba85909fff96e68f72f8a811dae0a5e2d2a1f12a7e17922,97.318800
