thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_d,6,1,true,6,12,onchain,64,0,1979758,5188455,121813,603700,726.127200,654273,659.167800,687265,670.415500,69626,23.563700,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,6,2,true,6,12,onchain,64,1,1979758,5188455,121813,603580,630.387200,654141,777.961700,687133,675.358900,69626,21.290100,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
theo_d,6,3,true,6,12,onchain,64,2,1979758,5188455,121813,603700,673.821100,654273,695.981200,687265,666.386000,69626,90.663500,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x0b8fe57083cdcc700c57fbcf6933cb725896572c6ab544b6f4d8e1c6ab38f07b
theo_d,6,4,false,6,12,onchain,64,0,1979758,5188455,121813,603700,689.317000,654273,727.342900,687265,656.118700,69626,50.814200,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,6,5,false,6,12,onchain,64,1,1979758,5188455,121813,603580,688.033200,654141,729.555300,687133,751.288000,69626,27.112000,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
theo_d,6,6,false,6,12,onchain,64,2,1979758,5188455,121813,603700,648.948000,654273,715.995500,687265,812.716300,69626,32.859600,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x0b8fe57083cdcc700c57fbcf6933cb725896572c6ab544b6f4d8e1c6ab38f07b
theo_d,6,7,false,6,12,onchain,64,3,1979758,5188455,121813,603784,712.023700,654357,680.098500,687349,689.911000,69626,30.223300,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x107c70d191e489c806456c18cf98e286488b248a7e2ac57b6576b30dfade8db2
theo_d,6,8,false,6,12,onchain,64,4,1979758,5188455,121813,603760,643.591900,654333,711.366200,687325,690.393400,69626,22.419000,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x0a311bfe27c095e9b61eb94f9bfdc9d5e247dfd2f96271cff3d32612a2e7339a
theo_d,6,9,false,6,12,onchain,64,5,1979758,5188455,121813,603712,811.608000,654285,660.070600,687277,669.367900,69626,22.350600,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x18b6e24c33265e51a6ebce655f0c7d8cc56a336e228450d97e77a9ef874404bc
theo_d,6,10,false,6,12,onchain,64,6,1979758,5188455,121813,603736,742.495900,654309,658.851300,687301,667.590300,69626,22.778000,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x178454ab459643088f4034d21806282a31eacc6d694df8a91a76f6cadc1e4e05
theo_d,6,11,false,6,12,onchain,64,7,1979758,5188455,121813,603616,639.579400,654189,756.897900,687181,757.750100,69626,22.073900,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x156330b35df029b9ac8c5cf74cf1978f087f063d91916404df8a0984916950ac
theo_d,6,12,false,6,12,onchain,64,8,1979758,5188455,121813,603700,710.855000,654261,671.573100,687253,686.438800,69614,35.034500,0x266224a86275a29894dcd44c3fc79ad26f901edc173a89d88bc3326ee40339f6,0x15bf766aa145bc49955f4b440b0070cdb1823fdb1a4942a856ae7a53dd251a8a
