thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier,verify_setup_ms
theo_d,13,1,true,8,9,offchain,256,0,1.016200,101.416900,172.046600,173.062800,6.487700,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,82.390100
theo_d,13,2,true,8,9,offchain,256,1,1.225300,114.749800,185.269200,186.494500,6.766000,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,90.271300
theo_d,13,3,true,8,9,offchain,256,2,1.337800,119.295800,195.600600,196.938400,6.925100,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,91.065100
theo_d,13,4,false,8,9,offchain,256,0,1.320000,123.141500,207.936600,209.256600,6.882900,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,91.593900
theo_d,13,5,false,8,9,offchain,256,1,1.267600,119.647100,195.536100,196.803700,6.913600,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,91.667200
theo_d,13,6,false,8,9,offchain,256,2,1.304000,121.417300,198.722800,200.026800,6.940800,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,98.359600
theo_d,13,7,false,8,9,offchain,256,3,1.302500,120.528300,195.249200,196.551700,7.001500,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x2ee3eca2a8acabb5247f13a7dc5bb5745525229c9b0fb6af8461f8add9d6ea42,94.537600
theo_d,13,8,false,8,9,offchain,256,4,1.271100,121.110900,195.133900,196.405000,7.034800,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x23abcf4c24d8f5eaa25ebedbbad6a842ea7c9839a4809e5f07c904d2874949da,92.672700
theo_d,13,9,false,8,9,offchain,256,5,1.449600,121.731800,221.556100,223.005700,7.954700,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x053f995315ef14fd41321d4c26fc6e4a11eebe9847b131f33160a845efab237a,101.469100
theo_d,13,10,false,8,9,offchain,256,6,1.422600,137.752400,233.142800,234.565400,7.292000,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x2253bb49377756b6e039255c2e07e59ebdb5e721de9034b6084a4f646823fb04,95.486100
theo_d,13,11,false,8,9,offchain,256,7,1.332300,126.270600,199.514400,200.846700,7.202400,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x30a7f45e66796c0bb5e756de164a7408361c1113a9c271d837fc45b7dcd6f659,94.444300
theo_d,13,12,false,8,9,offchain,256,8,2.026100,127.214000,247.393800,249.419900,7.817400,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x2cd86dce870ffb93e493637ae0ebc4d227e78de147374955ca7c805d2bd92dbb,100.899000
theo_d,13,13,false,8,9,offchain,256,9,1.423700,142.262400,207.646000,209.069700,7.308900,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x0bb7e3ce2eb37533b72c200e6c6614cb93c18b171631c1ef120a8fd150f2cb13,98.137600
theo_d,13,14,false,8,9,offchain,256,10,1.385100,226.634200,204.354200,205.739300,7.302900,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x2ddef6234d7e6f2ddbb3ed21a00be7589b7bbf5606b92dcf2b04f4b5bccd4fec,98.876500
theo_d,13,15,false,8,9,offchain,256,11,1.344500,126.842200,203.065000,204.409500,7.807200,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x3ada3ac697494a8c8f48fd81b4d30c407e5b76c201c8434db157d8b726837548,104.022100
theo_d,13,16,false,8,9,offchain,256,12,1.471800,148.545700,229.177500,230.649300,7.617500,true,3104,,0x268f7983d77d0eb5b2b457d8e08fe5f1cbe7dc7e8ee560047889aa7500f68936,0x2b1d692090d6ea4a2e3a8e5433f88d3c74ba86937bbe64f14872631fa739b53f,100.287600
