run_id,metric,N,mean
16,verify_native_ms,100,7.083449
16,proof_bytes,100,3104
16,verify_setup_ms,100,96.480981
17,deploy_pool_gas,100,968565
17,update_root_gas,100,149571
17,withdraw_gas,100,64664.72
17,withdraw_ms,100,27.61668
17,witness_ms,100,1.453265
17,setup_ms,100,130.25863
17,prove_ms,100,211.147691
17,proof_generation_ms,100,212.600956
17,verify_native_ms,100,7.289299
17,proof_bytes,100,3104
17,verify_setup_ms,100,96.602325
18,deploy_pool_gas,100,968565
18,update_root_gas,100,149571
18,withdraw_gas,100,64664.72
18,withdraw_ms,100,26.689165
18,witness_ms,100,1.449312
18,setup_ms,100,128.817107
18,prove_ms,100,208.270202
18,proof_generation_ms,100,209.719514
18,verify_native_ms,100,7.247063
18,proof_bytes,100,3104
18,verify_setup_ms,100,95.82289
19,deploy_pool_gas,100,968565
19,update_root_gas,100,149571
19,withdraw_gas,100,64664.72
19,withdraw_ms,100,27.728165
19,witness_ms,100,1.438034
19,setup_ms,100,131.10961
19,prove_ms,100,210.886145
19,proof_generation_ms,100,212.324179
19,verify_native_ms,100,7.241049
19,proof_bytes,100,3104
19,verify_setup_ms,100,97.827032
20,deploy_pool_gas,100,968565
20,update_root_gas,100,149571
20,withdraw_gas,100,64664.72
20,withdraw_ms,100,26.486523
20,witness_ms,100,1.443551
20,setup_ms,100,127.45674
20,prove_ms,100,208.046234
20,proof_generation_ms,100,209.489785
20,verify_native_ms,100,7.126475
20,proof_bytes,100,3104
20,verify_setup_ms,100,95.552216
