run_id,metric,N,mean
11,withdraw_ms,30,582.09329
11,verify_record_gas,30,615664.2
11,verify_record_ms,30,593.648813
11,settle_gas,30,69625.2
11,settle_ms,30,24.298383
11,witness_ms,30,63.000277
11,setup_ms,30,1659.7168
11,prove_ms,30,1191.635633
11,proof_generation_ms,30,1254.63591
11,verify_native_ms,30,6.337987
11,proof_bytes,30,4224
11,calldata_bytes,30,4352
11,tach_gas,30,685289.4
12,deploy_pool_gas,30,1979758
12,deploy_verifier_gas,30,4554511
12,update_root_gas,30,95502
12,verify_gas,30,532291.2
12,verify_onchain_ms,30,572.664953
12,withdraw_gas,30,582678.2
12,withdraw_ms,30,595.917707
12,verify_record_gas,30,615670.2
12,verify_record_ms,30,606.930077
12,settle_gas,30,69625.2
12,settle_ms,30,26.308403
12,witness_ms,30,66.62578
12,setup_ms,30,1679.9333
12,prove_ms,30,1234.00129
12,proof_generation_ms,30,1300.62707
12,verify_native_ms,30,6.873187
12,proof_bytes,30,4224
12,calldata_bytes,30,4352
12,tach_gas,30,685295.4
13,deploy_pool_gas,30,1979758
13,deploy_verifier_gas,30,4554511
13,update_root_gas,30,95502
13,verify_gas,30,532286.4
13,verify_onchain_ms,30,552.808657
13,withdraw_gas,30,582673.4
13,withdraw_ms,30,583.02169
13,verify_record_gas,30,615665.4
13,verify_record_ms,30,597.500843
13,settle_gas,30,69625.2
13,settle_ms,30,24.612323
13,witness_ms,30,65.323503
13,setup_ms,30,1674.078
13,prove_ms,30,1191.621997
13,proof_generation_ms,30,1256.9455
13,verify_native_ms,30,6.432763
13,proof_bytes,30,4224
13,calldata_bytes,30,4352
13,tach_gas,30,685290.6
14,deploy_pool_gas,30,1979758
14,deploy_verifier_gas,30,4554511
14,update_root_gas,30,95502
14,verify_gas,30,532278.4
14,verify_onchain_ms,30,565.23339
14,withdraw_gas,30,582665.4
14,withdraw_ms,30,589.827757
14,verify_record_gas,30,615657.4
14,verify_record_ms,30,570.9484
14,settle_gas,30,69625.2
14,settle_ms,30,22.468507
14,witness_ms,30,43.221527
14,setup_ms,30,1570.3357
14,prove_ms,30,1165.684403
14,proof_generation_ms,30,1208.90593
14,verify_native_ms,30,6.226823
14,proof_bytes,30,4224
14,calldata_bytes,30,4352
14,tach_gas,30,685282.6
15,deploy_pool_gas,30,1979758
15,deploy_verifier_gas,30,4554511
15,update_root_gas,30,95502
15,verify_gas,30,532271.2
15,verify_onchain_ms,30,571.58314
15,withdraw_gas,30,582658.2
15,withdraw_ms,30,590.873153
15,verify_record_gas,30,615650.2
15,verify_record_ms,30,589.48667
15,settle_gas,30,69625.2
15,settle_ms,30,26.19448
15,witness_ms,30,64.467313
15,setup_ms,30,1309.5223
15,prove_ms,30,1251.84521
15,proof_generation_ms,30,1316.312523
15,verify_native_ms,30,7.0751
15,proof_bytes,30,4224
15,calldata_bytes,30,4352
15,tach_gas,30,685275.4
16,deploy_pool_gas,30,1979758
16,deploy_verifier_gas,30,4554511
16,update_root_gas,30,95502
16,verify_gas,30,532279.2
16,verify_onchain_ms,30,563.5638
16,withdraw_gas,30,582666.2
16,withdraw_ms,30,587.043033
16,verify_record_gas,30,615658.2
16,verify_record_ms,30,583.334037
16,settle_gas,30,69625.2
16,settle_ms,30,25.563063
16,witness_ms,30,65.63882
16,setup_ms,30,1741.4314
16,prove_ms,30,1209.88867
16,proof_generation_ms,30,1275.52749
16,verify_native_ms,30,6.553417
16,proof_bytes,30,4224
16,calldata_bytes,30,4352
16,tach_gas,30,685283.4
17,deploy_pool_gas,30,1979758
17,deploy_verifier_gas,30,4554511
17,update_root_gas,30,95502
17,verify_gas,30,532280
17,verify_onchain_ms,30,589.560223
17,withdraw_gas,30,582667
17,withdraw_ms,30,630.72716
17,verify_record_gas,30,615659
17,verify_record_ms,30,645.28843
17,settle_gas,30,69625.2
17,settle_ms,30,25.446083
17,witness_ms,30,61.091287
17,setup_ms,30,1631.7766
17,prove_ms,30,1161.14814
17,proof_generation_ms,30,1222.239427
17,verify_native_ms,30,6.31912
17,proof_bytes,30,4224
17,calldata_bytes,30,4352
17,tach_gas,30,685284.2
18,deploy_pool_gas,30,1979758
18,deploy_verifier_gas,30,4554511
18,update_root_gas,30,95502
18,verify_gas,30,532277.2
18,verify_onchain_ms,30,568.71052
18,withdraw_gas,30,582664.2
18,withdraw_ms,30,585.315613
18,verify_record_gas,30,615656.2
18,verify_record_ms,30,602.559763
18,settle_gas,30,69625.2
18,settle_ms,30,26.765097
18,witness_ms,30,63.67956
18,setup_ms,30,1681.3506
18,prove_ms,30,1198.111487
18,proof_generation_ms,30,1261.791047
18,verify_native_ms,30,6.30231
18,proof_bytes,30,4224
18,calldata_bytes,30,4352
18,tach_gas,30,685281.4
19,deploy_pool_gas,30,1979758
19,deploy_verifier_gas,30,4554511
19,update_root_gas,30,95502
19,verify_gas,30,532290
19,verify_onchain_ms,30,579.867517
19,withdraw_gas,30,582677
19,withdraw_ms,30,595.876743
19,verify_record_gas,30,615669
19,verify_record_ms,30,603.42009
19,settle_gas,30,69625.2
19,settle_ms,30,23.345017
19,witness_ms,30,64.67153
19,setup_ms,30,1608.8041
19,prove_ms,30,1174.524507
19,proof_generation_ms,30,1239.196037
19,verify_native_ms,30,6.316727
19,proof_bytes,30,4224
19,calldata_bytes,30,4352
19,tach_gas,30,685294.2
20,deploy_pool_gas,30,1979758
20,deploy_verifier_gas,30,4554511
20,update_root_gas,30,95502
20,verify_gas,30,532299.2
20,verify_onchain_ms,30,578.530323
20,withdraw_gas,30,582686.2
20,withdraw_ms,30,591.9664
20,verify_record_gas,30,615678.2
20,verify_record_ms,30,608.228277
20,settle_gas,30,69625.2
20,settle_ms,30,24.068187
20,witness_ms,30,63.22753
20,setup_ms,30,1606.9151
20,prove_ms,30,1169.47613
20,proof_generation_ms,30,1232.70366
20,verify_native_ms,30,6.247687
20,proof_bytes,30,4224
20,calldata_bytes,30,4352
20,tach_gas,30,685303.4
