mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier
groth16,500,33,125.127900,6.539900,525.454100,650.582000,17.106900,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18012787174079404405335840529717845391893507942985705636648148601703917015038
groth16,500,34,116.758800,6.539900,501.620100,618.378900,19.012800,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12491895086698231864022878951374919580777653128131882828307902073587159703944
groth16,500,35,112.836900,6.539900,465.853500,578.690400,38.941700,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,8388512925078904564139654425542619713609195323273325230301136496171875418703
groth16,500,36,138.508400,6.539900,524.155900,662.664300,18.644300,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12235674002803689511473960795311931382306097654285682665686235479549838475761
groth16,500,37,118.387300,6.539900,532.467800,650.855100,20.132700,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,425287614128364011464158508567847589227471671976482284885042242296721439533
groth16,500,38,122.014900,6.539900,526.680500,648.695400,18.880400,true,722,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,19730125498066942179462772916878704516273938046942460306068898501475425599504
groth16,500,39,116.203300,6.539900,521.608300,637.811600,19.302000,true,721,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,16595026451522835921663041251501999722271715969527173242568080946249026574465
groth16,500,40,115.560900,6.539900,532.407300,647.968200,20.458500,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,8550121674513148509780631612691610814121357205779791554478930163707694237217
groth16,500,41,114.847200,6.539900,518.030500,632.877700,20.379800,true,724,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,12762980135012561511073546611368619799616142021236285648604955702621217409840
groth16,500,42,119.252800,6.539900,546.915700,666.168500,20.070800,true,723,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,4115390172787931935080137671539840639966834149571197226951667603443155434890
groth16,500,43,118.597400,6.539900,538.245400,656.842800,17.819600,true,720,384,1644388524969099164108347223593085597956425805170206287076470971457057291696,18756183150461844876611661927716286398728932128050666288245180160548290264567
