mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
groth16,500,0,2109494,445503,458856,235746,411.617600,286619,395.423600,321795,403.195100,69626,18.043200,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x252908df2b3fb6d8341d29735bb405c84b807b4b50e2c31e42ffb1cd11331ed3
groth16,500,1,2109494,445503,458856,235734,393.203200,286595,421.949600,321771,448.832100,69626,17.987700,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x0715072345dad7479fbcdda7213922657225e22f6dce2eedaacdd335765798da
groth16,500,2,2109494,445503,458856,235734,420.165100,286595,396.938400,321771,407.148000,69614,18.971700,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x019a228cb423e03a0f279e97f0a5e06c7572a07047f77eb579f2911d0022054c
groth16,500,3,2109494,445503,458856,235758,380.854800,286631,417.353600,321807,439.809800,69626,18.134200,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x20b4db34afad62e195548fc24fa67f31118cb0b55494be86c3f882922d903769
groth16,500,4,2109494,445503,458856,235734,372.891100,286607,406.357800,321783,422.135400,69626,17.390700,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x2a59573ca46ee521addf1a09077b12e463106b7c4f1fb148813b8ac7fd109ae7
groth16,500,5,2109494,445503,458856,235758,394.187500,286619,418.153400,321795,461.952500,69614,17.492300,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x28c4d6fa3f70a0e7ba4e9179f34cf8a9ddb83b00908df8736f887b4010ee83f1
groth16,500,6,2109494,445503,458856,235770,498.250700,286643,440.226400,321819,416.196900,69626,14.096000,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x201274bab2178dbe8dea6779d990787918e6c87333d48ee258fdbf8ab4ef5490
groth16,500,7,2109494,445503,458856,235770,381.319000,286643,390.751700,321819,390.632300,69626,16.446800,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x0625adad6f381f8defab1d7cb43761be1b086d7eb619befef822a99c980bdeaf
groth16,500,8,2109494,445503,458856,235758,375.526900,286631,406.561900,321807,421.940200,69626,27.640300,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x083d58b16fe5801914720d9f410be4f5b63293438eccef293eafb94b8c714f75
groth16,500,9,2109494,445503,458856,235710,387.845500,286571,372.956300,321747,401.694000,69626,15.027100,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x1bb0ab2f11daff3b79c21af61d3c62503bc24ea43fd96d6250213892ab053fa5
groth16,500,10,2109494,445503,458856,235758,371.435800,286619,390.509800,321795,395.745600,69614,17.568400,0x03a2b0e04f31b128c667a2db672685000caa14e9f1275eab4844a954a24f7db0,0x0bab94a9badb56e2297491d08d74e82a076826e85ba596018882655cfd00d3ca
