mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
groth16,60,33,2109494,445503,118716,235770,368.785700,286655,382.779800,321831,409.493400,69626,30.703900,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x08743edf19fc32c29b2d02d2bc89b60f79f14b0de5cbef591e97447e78313306
groth16,60,34,2109494,445503,118716,235770,405.693800,286655,419.970300,321831,395.030600,69626,16.297900,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x156a2c2f1fe50470f85f523b6d4168369ba6520ca3959d1bd8142a6c58d4711d
groth16,60,35,2109494,445503,118716,235770,413.959800,286655,425.335300,321831,420.723700,69626,17.270700,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x19efb4a514fd560f775edc36d4df93cb790b48bf53bb66ae71e2dd5529886b24
groth16,60,36,2109494,445503,118716,235770,387.130000,286655,394.563300,321831,390.302300,69626,16.107400,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x116a26aac673249349d11f0ea01f8defce218387e45144e5779765afc8cd37ac
groth16,60,37,2109494,445503,118716,235782,401.410400,286667,403.430300,321843,410.138900,69626,15.610000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x02d8ee15e009771faa580296a8101ffa3ac987b6c0a0748af305cca63874b07b
groth16,60,38,2109494,445503,118716,235782,433.156300,286667,436.900100,321843,409.560100,69626,15.679300,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x27a78e7fb6e6650cd575713b10b8e0cfa550fffb067e2b1c03fcb7abd91e3bc0
groth16,60,39,2109494,445503,118716,235770,388.057500,286643,395.555700,321819,404.752900,69614,16.762800,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0347627984835c6a00ced8c72255886b32b08a94396a487e4ad5d061b61b2942
groth16,60,40,2109494,445503,118716,235782,459.765200,286667,404.204900,321843,405.861300,69626,17.207300,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x2c47b098fe94edb46a1fb2283968ab97488d6b2b3c947ef8d54f97554d9d1809
groth16,60,41,2109494,445503,118716,235758,391.932600,286631,437.854400,321807,417.479400,69614,17.238100,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x2c5a8e30e832ecd92900bb07e268f37422bd0b22da25095d08c6e501b0ec6594
groth16,60,42,2109494,445503,118716,235770,392.444000,286655,406.744600,321831,409.419100,69626,19.830900,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1894b9c3ac59ba646adf79e8ecec76b65d3e27f7c8ed73fa2ab51f4d5dc8aa54
groth16,60,43,2109494,445503,118716,235758,390.626600,286643,399.092900,321819,402.566300,69626,15.720300,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0aba85a212137998d1cae3614e8a5fe890778bdceff7acc2c425666f7e32841e
groth16,60,44,2109494,445503,118716,235782,394.492600,286667,405.118600,321843,428.803700,69626,16.889400,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x21c6ed094b52085324649acf48874b23615e084923d9928a8781e92a591a8a94
groth16,60,45,2109494,445503,118716,235770,412.320600,286655,419.233600,321831,408.482500,69626,18.356100,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x2c9f622530bee3013ad5f420e8d6594bd66578b5e7e5970de71cc7476011642e
groth16,60,46,2109494,445503,118716,235782,391.180400,286667,416.150700,321843,424.822300,69626,22.166000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x21e6d877df376c086a3129deabb37a9f21e1a3ac31b656bbfdbb2b59cfe291a4
groth16,60,47,2109494,445503,118716,235734,415.548600,286607,462.195400,321783,434.295700,69626,19.088600,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x06716623ce20592140d9e5ac22976708a86c64bf617021c1db51f78acf9bc340
groth16,60,48,2109494,445503,118716,235782,401.644100,286667,420.557400,321843,441.556800,69626,18.723400,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x2faf6ce1c6a7bf39c9f80d522c53c895376180f780c896f2c417ce6aa29b045f
groth16,60,49,2109494,445503,118716,235782,402.216500,286667,415.841200,321843,431.313400,69626,16.247700,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x143d0833f2137dfa099a229b3a487ab3214f09db4f75714384129513bbe15517
groth16,60,50,2109494,445503,118716,235770,400.926600,286655,566.101500,321831,452.433800,69626,16.637400,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1eaa23f5602eb54f5187672e720ba6c71d3da2fa8f542dc084f6da7b64cdb1db
groth16,60,51,2109494,445503,118716,235758,382.842300,286643,423.897600,321819,475.891700,69626,17.727900,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x08934a3756c6a3d789e72c64854898e2b48a61d3384abc632377ae11605e8dfd
groth16,60,52,2109494,445503,118716,235782,431.067600,286667,426.595700,321843,494.907400,69626,17.173800,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x09c52e567ee13775990d8a0a85bed0b160a2ed55925e039b546432429e6e672c
groth16,60,53,2109494,445503,118716,235770,431.117400,286655,416.893400,321831,453.572700,69626,16.480000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x2175c957db71606e8c4947dc2086d3729a81c6f492e49efbaf722dc89eed900f
groth16,60,54,2109494,445503,118716,235770,392.374400,286655,420.099400,321831,413.911600,69626,22.048100,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x19d11b8014ff72af18db3fcd1f38136619ee205fad99a1872063b65dec0a5cbe
groth16,60,55,2109494,445503,118716,235770,403.385200,286655,423.196800,321831,409.250700,69626,16.441000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1b973a733497f6a327b0e06acdd0e867f98f02aaeedd85b9f75022e46c5a87d0
groth16,60,56,2109494,445503,118716,235770,374.549000,286655,466.267800,321831,567.752300,69626,30.401000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1b502fbdce2973504eb5f8e8fe6517ff99a0e0ed051b6eb6b3137e7589cb40ba
groth16,60,57,2109494,445503,118716,235758,685.242500,286631,507.904000,321807,430.246700,69614,19.483800,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x1200658f547111c623eac0300c43deacde3a247090e688855a4fdeafc376775b
groth16,60,58,2109494,445503,118716,235770,447.736600,286655,449.847100,321831,445.478600,69626,18.026000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x27f73676e5074589fffe581bb2298c49281f3ba087c46a5e1ccda8c70f8e58f3
groth16,60,59,2109494,445503,118716,235758,406.143300,286643,383.565500,321819,400.660300,69626,25.434000,0x049b0f1dcc1e6eeb98387f14b1ba498db4f2c4c897077fab358ef79c4b4b57f9,0x0c54379236cf3370c07e2669bc40fef67210b05f6fb553247a321a1926daa876
