mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
groth16,30,0,2109494,445503,95562,235782,1477.446500,286667,538.246700,321843,462.876200,69626,19.926300,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x2249c66eab40673a1cb9c8ed3a15f498ab37bbf145daee03217ce4aeb90d969a
groth16,30,1,2109494,445503,95562,235758,497.043400,286631,407.122600,321807,450.355500,69626,29.448100,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x22b77a2f1dad6e9deecd3b5063b0e86869f724716487cd0f2684acea1b2a1332
groth16,30,2,2109494,445503,95562,235758,670.942700,286643,501.875600,321819,478.118800,69626,27.348600,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x121df7b485e15328d01d968afa39b6a96e414e3254cfe5ac9773aa10d6547bd4
groth16,30,3,2109494,445503,95562,235758,436.972300,286643,463.768000,321819,466.431600,69626,22.812600,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x06f4679ceae9a91d61017b9edc73d1153f64fbdbd10c0a2d67574d2cadde25fd
groth16,30,4,2109494,445503,95562,235782,437.814100,286667,498.536400,321843,469.891800,69626,23.809100,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x07be028024bc1d26940971356808b703e054ac16f457cbead5e5e5f96310db1a
groth16,30,5,2109494,445503,95562,235782,548.663300,286667,425.890900,321843,476.460500,69626,25.663300,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x1cff6b54f6ef2c591812f0c935a51cf974b09243d37e65282a4437eadfe62b19
groth16,30,6,2109494,445503,95562,235770,403.006100,286655,468.429600,321831,451.331800,69626,19.103700,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x291fd3a3e3293d38d99531852d39bf7fcb277cb473c05f152b9844dcb2970639
groth16,30,7,2109494,445503,95562,235758,461.101900,286643,426.275400,321819,439.207000,69626,23.276100,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x2446e0b1c979e8c757aa63873a6b1b58d67626da3f8cd0abbc203a9acf280377
groth16,30,8,2109494,445503,95562,235734,508.049600,286619,486.899700,321795,491.637900,69626,26.747700,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x1d7f785dfb41253f95f406b568f95033aba0affa29c4618af16dc89699482a6a
groth16,30,9,2109494,445503,95562,235770,527.845800,286643,576.734600,321819,523.474700,69626,25.880900,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x234a9019d8af6c843959e3619c8a22f6cbde0e87b21d1157b610253878b3cedd
groth16,30,10,2109494,445503,95562,235770,517.871000,286655,469.292600,321831,472.998800,69626,26.078000,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x0edfbc9fd21ec546b7384e5e609a94d4bb5ca9fbbec055eb5d9c8ede8e6f76f2
groth16,30,11,2109494,445503,95562,235770,432.245900,286655,442.086500,321831,471.972200,69626,21.665900,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x02afb03d0144ea42d52adc8cfd319ac855870e453487e7a779011efea4eb9fd8
groth16,30,12,2109494,445503,95562,235758,531.453700,286631,467.252000,321807,446.424800,69614,23.376700,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x07d7f859c54e602e874187856e9ef99daf8b8ed724c535c0efddc00055399cf2
groth16,30,13,2109494,445503,95562,235770,475.926300,286643,490.789000,321819,422.923500,69614,26.264400,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x028a78c28433b8c4dfde35d269b500cb8d9964c8ba094cc69929194fda1ad0f5
groth16,30,14,2109494,445503,95562,235770,381.695400,286655,427.347500,321831,432.835500,69626,24.832700,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x1f7b1e8e2d7f4fd5590d31366c61207c6096edaefc1d18c4bb4c1086fe8fef92
groth16,30,15,2109494,445503,95562,235758,426.889800,286631,459.464400,321807,401.795600,69614,20.972400,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x121729872c57f928002623120a4f1d1e2f8dddad9b9ddd4ab861b18b36d5a727
groth16,30,16,2109494,445503,95562,235770,447.843400,286655,470.236100,321831,439.490600,69626,20.884400,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x0a6ea5745f6cce185c8a0bcca733a34ceafe3db83657ed51298a8c2cafed90eb
groth16,30,17,2109494,445503,95562,235770,404.631000,286655,446.874100,321831,394.322200,69626,17.990000,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x068281068f10e6b63c3f872a2ef179029fdcc8c69d065ccf4d0d95c4c344d7be
groth16,30,18,2109494,445503,95562,235782,455.206900,286667,430.071400,321843,415.868000,69626,31.108600,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x0bf7b73d6b3af258fcca428b76c1b0c7a9346b614802f59805cc5982f06e0b36
groth16,30,19,2109494,445503,95562,235770,630.115000,286655,444.860200,321831,437.186400,69626,25.088600,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x01aa900b52c0877eca9084733c8dbdc354e9ade497f6cbd04ce6c1d751dc885c
groth16,30,20,2109494,445503,95562,235770,506.522100,286655,484.158700,321831,518.246900,69626,31.838800,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x09cc41d97b280fc5f532072c021774406454d3f9e608df7b8d40c23dd1bf8056
groth16,30,21,2109494,445503,95562,235770,547.078600,286643,433.233300,321819,445.984700,69614,23.440700,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x14256700bb8448742786043d1e4c0bd06cfc092aa91358b3ad58b6ed503d9015
groth16,30,22,2109494,445503,95562,235782,401.728300,286667,428.470400,321843,434.364200,69626,22.410400,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x304bed4a650fde34a24fca0c3c47ae918352c6947db44dd8e10795b04eab91d6
groth16,30,23,2109494,445503,95562,235758,530.348600,286643,420.854000,321819,445.564200,69626,23.791500,0x0770fdaf6c24695e2f61bfdb367b3f8de35fd74107b19f40ade4121b43913408,0x1a100bfed161c2f914b34886f54921c47b8d82fe85faaa83bfc6337268493086
