thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_d,16,1,true,2,11,onchain,4,0,1979758,5184639,75424,603662,875.804500,654235,643.597100,687227,637.447500,69626,32.629700,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,16,2,true,2,11,onchain,4,1,1979758,5184639,75424,603710,637.554800,654271,762.235900,687263,700.606500,69626,25.542500,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
theo_d,16,3,true,2,11,onchain,4,2,1979758,5184639,75424,603650,670.936300,654223,638.388000,687215,671.821300,69626,35.888200,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x0b8fe57083cdcc700c57fbcf6933cb725896572c6ab544b6f4d8e1c6ab38f07b
theo_d,16,4,false,2,11,onchain,4,0,1979758,5184639,75424,603662,635.116200,654235,662.103000,687227,794.027700,69626,23.608100,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,16,5,false,2,11,onchain,4,1,1979758,5184639,75424,603710,661.774200,654271,665.389900,687263,696.814000,69626,25.209200,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
theo_d,16,6,false,2,11,onchain,4,2,1979758,5184639,75424,603650,626.668700,654223,713.492100,687215,671.760900,69626,23.686500,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x0b8fe57083cdcc700c57fbcf6933cb725896572c6ab544b6f4d8e1c6ab38f07b
theo_d,16,7,false,2,11,onchain,4,3,1979758,5184639,75424,603794,574.714700,654367,649.504500,687359,670.158500,69626,28.216400,0x1ed1954f62278a91d1c4cff4d5d12e068fa00706af39164b90af6b76b6c5b275,0x107c70d191e489c806456c18cf98e286488b248a7e2ac57b6576b30dfade8db2
