thi_nghiem,mechanism,cau_hinh,n,d,k,metric,cach_dem,R,N,mean,sd,min,max,don_vi,nguon
theo_n,onchain,n30,30,9,13,prove_ms,moi_lan_do,20,600,1167.056374,80.036745,840.2433,1600.3563,ms,lap20
theo_n,onchain,n30,30,9,13,proof_generation_ms,moi_lan_do,20,600,1226.604397,86.762032,869.5459,1649.0043,ms,lap20
theo_n,onchain,n30,30,9,13,verify_native_ms,moi_lan_do,20,600,6.370737,0.748338,3.6524,10.2195,ms,lap20
theo_n,onchain,n30,30,9,13,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_n,onchain,n30,30,9,13,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_n,onchain,n30,30,9,13,tach_gas,moi_lan_do,20,600,685290.94,55.665076,685101,685461,gas,lap20
theo_n,onchain,n60,60,9,13,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_n,onchain,n60,60,9,13,deploy_verifier_gas,moi_luot,20,20,4554511,0,4554511,4554511,gas,lap20
theo_n,onchain,n60,60,9,13,update_root_gas,moi_luot,20,20,118668,0,118668,118668,gas,lap20
theo_n,onchain,n60,60,9,13,verify_gas,moi_lan_do,20,1200,532288.24,52.635455,532094,532442,gas,lap20
theo_n,onchain,n60,60,9,13,verify_onchain_ms,moi_lan_do,20,1200,589.896825,70.636892,490.7676,2099.2397,ms,lap20
theo_n,onchain,n60,60,9,13,withdraw_gas,moi_lan_do,20,1200,582675.44,53.340579,582471,582831,gas,lap20
theo_n,onchain,n60,60,9,13,withdraw_ms,moi_lan_do,20,1200,619.355995,104.459156,521.0859,3165.9638,ms,lap20
theo_n,onchain,n60,60,9,13,verify_record_gas,moi_lan_do,20,1200,615667.44,53.340579,615463,615823,gas,lap20
theo_n,onchain,n60,60,9,13,verify_record_ms,moi_lan_do,20,1200,629.125679,94.392725,525.1309,2557.042,ms,lap20
theo_n,onchain,n60,60,9,13,settle_gas,moi_lan_do,20,1200,69625,3.318008,69614,69626,gas,lap20
theo_n,onchain,n60,60,9,13,settle_ms,moi_lan_do,20,1200,26.876321,9.878782,16.2201,203.4955,ms,lap20
theo_n,onchain,n60,60,9,13,witness_ms,moi_lan_do,20,1200,59.931634,10.97288,29.4932,102.439,ms,lap20
theo_n,onchain,n60,60,9,13,setup_ms,moi_luot,20,20,1457.354165,93.62585,1321.3133,1709.2025,ms,lap20
theo_n,onchain,n60,60,9,13,prove_ms,moi_lan_do,20,1200,1186.246254,104.623385,845.4118,2026.7581,ms,lap20
theo_n,onchain,n60,60,9,13,proof_generation_ms,moi_lan_do,20,1200,1246.177888,109.189081,875.3363,2092.0932,ms,lap20
theo_n,onchain,n60,60,9,13,verify_native_ms,moi_lan_do,20,1200,6.55605,2.05195,4.3401,62.675,ms,lap20
theo_n,onchain,n60,60,9,13,proof_bytes,moi_luot,20,20,4224,0,4224,4224,B,lap20
theo_n,onchain,n60,60,9,13,calldata_bytes,moi_luot,20,20,4352,0,4352,4352,B,lap20
theo_n,onchain,n60,60,9,13,tach_gas,moi_lan_do,20,1200,685292.44,53.921697,685077,685449,gas,lap20
theo_n,onchain,n100,100,9,13,deploy_pool_gas,moi_luot,20,20,1979758,0,1979758,1979758,gas,lap20
theo_n,onchain,n100,100,9,13,deploy_verifier_gas,moi_luot,20,20,4554511,0,4554511,4554511,gas,lap20
theo_n,onchain,n100,100,9,13,update_root_gas,moi_luot,20,20,149689,0,149689,149689,gas,lap20
theo_n,onchain,n100,100,9,13,verify_gas,moi_lan_do,20,2000,532286.654,52.29581,532106,532430,gas,lap20
theo_n,onchain,n100,100,9,13,verify_onchain_ms,moi_lan_do,20,2000,588.921009,91.456868,468.1361,1930.8121,ms,lap20
theo_n,onchain,n100,100,9,13,withdraw_gas,moi_lan_do,20,2000,582672.774,53.451899,582459,582819,gas,lap20
theo_n,onchain,n100,100,9,13,withdraw_ms,moi_lan_do,20,2000,620.633763,108.693399,475.9108,2150.0303,ms,lap20
