mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,root,nullifier
offchain,100,24,968565,,149571,,,64655,51.247500,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3064d8f0b9820a16436dbc705ca9538ea5d0da72c7d3fe2bb0185f3883ad4608
offchain,100,25,968565,,149571,,,64667,52.198400,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x079d54f81eb814f67125431e86a6841cf27c2de981fdd6cf8c0347c6cd23154a
offchain,100,26,968565,,149571,,,64667,50.621500,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1cf15ffc38fc6228c52ef61cbc9a9dba79201e4b9758333d414c092fc80614e9
offchain,100,27,968565,,149571,,,64667,53.879800,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x1c0c844e7643629956ef560960c8ad285fd8f6d739826c9ba10ec6461fb3a6fd
offchain,100,28,968565,,149571,,,64667,56.674500,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x16872c2c0e1e68b9b8305a571973212b199e94b0cddc886e0f1c331d9e1b2143
offchain,100,29,968565,,149571,,,64667,36.567700,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3c725a5bd66ea7f4ec294bc47dea3b40e921529f66e41974afb823f07fae8de5
offchain,100,30,968565,,149571,,,64667,35.176800,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x04f023849eac29dfd5bacb76292501056cb3c17bd0010ba8252120efebffe374
offchain,100,31,968565,,149571,,,64667,30.656000,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x18f93b0bd18d4d861f19879d1c58f12602d695ad208c8765b771987f012817f3
offchain,100,32,968565,,149571,,,64667,28.465900,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x3cd2b125601c08c3c97f4e60f0e261d6036a6426464e9cf5fdf85eb3efc15a3c
offchain,100,33,968565,,149571,,,64667,26.530200,0x20389e0695ba10852061fe6a14865835047c1d17719c14aab83b1ecdb71814ee,0x01f18603a6ffb59d907e97c33d1bcf2757b761507c5063ea624de97a396905d8
