thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier
theo_n,20,1,true,9,13,onchain,1,0,38.265100,1634.681000,1242.559000,1280.824100,9.436200,true,4224,4352,0x21a6746f7d51b1c90594131f4a66f0d2c368cf5e8a46948bfa5dfdc723aef09a,0x17e23b6e413dea3d0c98abb523d382c429be8ecdc0dcd886e5a3b391759c7221
theo_n,20,2,true,9,13,onchain,1,0,91.069300,1634.681000,1289.717200,1380.786500,6.211900,true,4224,4352,0x21a6746f7d51b1c90594131f4a66f0d2c368cf5e8a46948bfa5dfdc723aef09a,0x17e23b6e413dea3d0c98abb523d382c429be8ecdc0dcd886e5a3b391759c7221
theo_n,20,3,true,9,13,onchain,1,0,63.908400,1634.681000,1198.656700,1262.565100,6.436700,true,4224,4352,0x21a6746f7d51b1c90594131f4a66f0d2c368cf5e8a46948bfa5dfdc723aef09a,0x17e23b6e413dea3d0c98abb523d382c429be8ecdc0dcd886e5a3b391759c7221
theo_n,20,4,false,9,13,onchain,1,0,66.330800,1634.681000,1193.680600,1260.011400,7.289400,true,4224,4352,0x21a6746f7d51b1c90594131f4a66f0d2c368cf5e8a46948bfa5dfdc723aef09a,0x17e23b6e413dea3d0c98abb523d382c429be8ecdc0dcd886e5a3b391759c7221
