branch,run_at,git_commit,chain_id,total_students,student_index,student_id,wallet_address,ganache_account_index,clean,exposed_name_count,exposed_value_count,exposed_names,encodings_checked,encodings_skipped
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,0,24560000,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,1,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,1,24560001,0x3C44CdDdB6a900fa2b585dd299e03d12FA4293BC,2,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,2,24560002,0x90F79bf6EB2c4f870365E785982E1f101E93b906,3,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,3,24560003,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,4,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,4,24560004,0x9965507D1a55bcC2695C58ba16FB37d819B0A4dc,5,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,5,24560005,0x976EA74026E726554dB657fA54763abd0C3a0aa9,6,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,6,24560006,0x14dC79964da2C08b23698B3D3cc7Ca32193d9955,7,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,7,24560007,0x23618e81E3f5cdF7f54C3d65f7FBc0aBf5B21E8f,8,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,8,24560008,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,9,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,9,24560009,0xBcd4042DE499D14e55001CcbB24a551F3b954096,10,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,10,24560010,0x71bE63f3384f5fb98995898A86B02Fb2426c5788,11,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,11,24560011,0xFABB0ac9d68B0B445fB7357272Ff202C5651694a,12,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,12,24560012,0x1CBd3b2770909D4e10f157cABC84C7264073C9Ec,13,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,13,24560013,0xdF3e18d64BC6A983f673Ab319CCaE4f1a57C7097,14,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,14,24560014,0xcd3B766CCDd6AE721141F452C550Ca635964ce71,15,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,15,24560015,0x2546BcD3c84621e976D8185a91A922aE77ECEc30,16,true,0,0,(khong),16,2
off-chain (ADV),2026-09-12T22:07:43.781Z,2ec59fc9522059b44a23c3a62e6926a48311e8c1,1337,500,16,24560016,0xbDA5747bFD65F08deb54cb465eB87D40e51B197E,17,true,0,0,(khong),16,2
