thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_d,17,1,true,1,11,onchain,2,0,1979758,4548152,73876,532153,808.762400,582542,583.605900,615534,564.641000,69626,32.115900,0x1102b7b25122cff07dd25ab10decce9f64edb811551fee0f4699cbfb34c0a0a5,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,17,2,true,1,11,onchain,2,1,1979758,4548152,73876,532237,540.780200,582614,586.901700,615606,597.314200,69626,28.550600,0x1102b7b25122cff07dd25ab10decce9f64edb811551fee0f4699cbfb34c0a0a5,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
theo_d,17,3,true,1,11,onchain,2,0,1979758,4548152,73876,532153,580.424500,582542,546.855100,615534,605.638700,69626,26.457100,0x1102b7b25122cff07dd25ab10decce9f64edb811551fee0f4699cbfb34c0a0a5,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,17,4,false,1,11,onchain,2,0,1979758,4548152,73876,532153,553.816000,582542,562.959000,615534,626.336400,69626,26.473800,0x1102b7b25122cff07dd25ab10decce9f64edb811551fee0f4699cbfb34c0a0a5,0x0908cbf85e088d680fbd39fdb24b3cc3dd4a43f6c03cd816e06f24aad0ed40c9
theo_d,17,5,false,1,11,onchain,2,1,1979758,4548152,73876,532237,612.887800,582614,627.155100,615606,572.029900,69626,22.119300,0x1102b7b25122cff07dd25ab10decce9f64edb811551fee0f4699cbfb34c0a0a5,0x067e06c893d9a0e4d6fd53a0046674c8f20bf84f7b70811bf473ffa211d8c6bd
