thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,witness_ms,setup_ms,prove_ms,proof_generation_ms,verify_native_ms,verified,proof_bytes,calldata_bytes,root,nullifier,verify_setup_ms
theo_d,19,1,true,5,9,offchain,32,0,0.668300,95.902500,155.946800,156.615100,6.170400,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,77.980800
theo_d,19,2,true,5,9,offchain,32,1,0.894400,112.957700,196.378100,197.272500,6.784300,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,88.690600
theo_d,19,3,true,5,9,offchain,32,2,0.999400,213.109500,196.907600,197.907000,7.490100,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,93.726100
theo_d,19,4,false,5,9,offchain,32,0,1.218700,140.218400,234.728100,235.946800,7.814600,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x31cce6578fc40150881c61af3263887000159f168b78eb0c1c67322a114def10,101.619600
theo_d,19,5,false,5,9,offchain,32,1,1.104100,134.953900,192.556400,193.660500,6.967900,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x06b149a846c21e833d5cd6933d03540005608217faf9b22fe873f8c17f865e8c,90.043800
theo_d,19,6,false,5,9,offchain,32,2,0.966800,117.425800,189.906300,190.873100,7.405500,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x1d06a3d96bc0fee0182a90672cc093d7b090bd77f3f3308c9126cfb07e55ad1e,88.299800
theo_d,19,7,false,5,9,offchain,32,3,1.029100,121.425500,226.852400,227.881500,7.786700,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x2ee3eca2a8acabb5247f13a7dc5bb5745525229c9b0fb6af8461f8add9d6ea42,96.838900
theo_d,19,8,false,5,9,offchain,32,4,1.211900,123.613200,193.647000,194.858900,7.097100,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x23abcf4c24d8f5eaa25ebedbbad6a842ea7c9839a4809e5f07c904d2874949da,92.372300
theo_d,19,9,false,5,9,offchain,32,5,0.976900,121.727000,189.348800,190.325700,7.152700,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x053f995315ef14fd41321d4c26fc6e4a11eebe9847b131f33160a845efab237a,90.014400
theo_d,19,10,false,5,9,offchain,32,6,1.047900,118.437300,187.795000,188.842900,6.961900,true,3104,,0x1ba805f4c0a6107ea8d4b8b5abc71d7e594a837ee209a29b74ea25655dfd33de,0x2253bb49377756b6e039255c2e07e59ebdb5e721de9034b6084a4f646823fb04,89.137700
