mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,30,0,1979758,4554511,95502,532322,806.454600,582711,616.993800,615703,657.243400,69626,31.258100,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x018809d889f321a6386b1c25389672c099465cf516f67c7565e82b369347fd67
onchain,30,1,1979758,4554511,95502,532358,618.135300,582735,685.215900,615727,581.110900,69626,24.147500,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x1099526e282936b9c71393182325878fa95f4afd3fd999e6d590df40992cc0f9
onchain,30,2,1979758,4554511,95502,532274,578.416400,582663,645.921800,615655,781.628000,69626,36.301500,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x25e5f6e52c5e99f016d642039c7ba64f2b35923568cfe4aca8e50acdc9a9b646
onchain,30,3,1979758,4554511,95502,532334,631.728200,582723,692.790300,615715,750.228600,69626,26.195500,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x20dbf8d9b004c84489b8017f846e078808e151192826c6928ea5ed0f303a9e91
onchain,30,4,1979758,4554511,95502,532154,593.648700,582543,575.035900,615535,724.614900,69626,45.155400,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x121a0d519a7197e13441f693ffa34af23595793edf3bc9eb45de9e8c8ee221b5
onchain,30,5,1979758,4554511,95502,532358,636.053000,582747,681.032400,615739,671.467500,69626,25.105400,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x287cfdbd275999eec348d5fbb8f337bf538df434bf4199b8cb0c7389cb6dccbd
onchain,30,6,1979758,4554511,95502,532262,665.070000,582651,679.548700,615643,709.699300,69626,23.572300,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x2fd952bb80f30f5e46a2d9b1b4307bfe552c7915110ced24d5bd043178a16d06
onchain,30,7,1979758,4554511,95502,532274,614.936900,582663,687.935900,615655,577.789100,69626,19.929500,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x0dc9c34698cfb22ac47c043c0b05c5610d317fc34555c33b70ad4fb43b1ae8db
onchain,30,8,1979758,4554511,95502,532298,615.202600,582687,680.136300,615679,566.954100,69626,33.121500,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x09aecf356d4237faeb5ebe31d61ac407f87f91ae341171e2c697742aa5d98855
onchain,30,9,1979758,4554511,95502,532262,612.601200,582639,676.471700,615631,623.513600,69626,38.763600,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x11bbba55c3f89846013fe38f4ce01417ff0f6e61f615247d25e8920309a2e018
onchain,30,10,1979758,4554511,95502,532298,574.605900,582687,682.497400,615679,874.908500,69626,36.194700,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x12e2fb3934255a7b563a865cdc0bee36a2244f33cca7483898f6df58dd687309
onchain,30,11,1979758,4554511,95502,532286,609.056500,582675,622.079300,615667,672.747200,69626,40.128300,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x27bb69ed89655ed65ee955c93271c397356bd996143b24c67c94f29bc65eea3f
onchain,30,12,1979758,4554511,95502,532274,605.472400,582663,679.300700,615655,682.340700,69626,36.414700,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x034c4c9b9062502dcdf7c8d86e1f974c477c53d86fe13466078ab32814cc27d2
onchain,30,13,1979758,4554511,95502,532334,634.604500,582723,690.141100,615715,678.605800,69626,64.541600,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x24dacced0c7a575643622ab8e2d17c84b425f2455cadd3c5a982bef08c287066
onchain,30,14,1979758,4554511,95502,532274,611.177600,582663,593.732400,615655,680.830000,69626,34.930600,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x2dd8812088b88ec7865ac0d521ce6a5b5b114db43f9cfc42290c07d42c7c9d79
onchain,30,15,1979758,4554511,95502,532274,562.454500,582663,622.881700,615655,693.857600,69626,35.245300,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x027bdfcb6ef777dab1b1e85b1e547db72e1e64fe7d61788491fdf00555de678d
onchain,30,16,1979758,4554511,95502,532238,624.576300,582627,579.401200,615619,659.683800,69626,29.305300,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x2ab47105c5d1ee145c554579ea17e3958a4e82c671e4f44ecc3cc6109ee5f877
onchain,30,17,1979758,4554511,95502,532322,623.088900,582711,701.600700,615703,669.197400,69626,31.849000,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x06b9badfa3c4e1ddf61e7987962b916ace2da7e312cb5551efad980c87d37337
onchain,30,18,1979758,4554511,95502,532322,639.130200,582711,621.837100,615703,664.682400,69626,44.085400,0x145826b051c4e55c4e94a8a682e91d8cd1816c290e5b3486aebf7d08d3ddad99,0x22268e406674e7c918f72e676cf5034a9ed0a13b3d396dffe975169afbe64741
