mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
onchain,10,0,1979758,4554511,80068,532298,770.204800,582675,675.173400,615667,722.953300,69626,33.728300,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x2e2cee8e5d982fef17970aef8ec4cc32d57bb1417d8b7d35e4f3d3f1729472f0
onchain,10,1,1979758,4554511,80068,532250,659.772600,582615,709.481700,615607,637.183900,69626,38.515500,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x27b8142a933ce5711d5de4dc89e1306741320e01930a1ba2d65fe2276824835f
onchain,10,2,1979758,4554511,80068,532310,784.719700,582687,632.122700,615679,737.024300,69626,38.808300,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x2f99c11b497eedca54f904eff273048fbe62db31d3b352f21e6acbafc1cc550a
onchain,10,3,1979758,4554511,80068,532274,716.667400,582651,671.363700,615643,711.995000,69626,26.096000,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x1448ba0c115caa20951b44a07bd090a3067b43fa4f7724f7be6f614d6a836e97
onchain,10,4,1979758,4554511,80068,532310,593.344300,582687,590.465000,615679,761.472800,69626,35.533700,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x12e95192c37d8ad779f593be2b515335ce29cdcf455a010b14e3c3dd3c6702f9
onchain,10,5,1979758,4554511,80068,532238,602.876300,582615,674.377700,615607,771.713300,69626,31.877600,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x216caa5048ee8d3385a91bb7da1b9a762412d5197a7b555c3249803de5015c92
onchain,10,6,1979758,4554511,80068,532262,619.593600,582639,695.748000,615631,683.142200,69626,28.017500,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x0f033579aafdf64251ed8a8e735ec6a0a6452bfd2132e5cac021f0c5f8483763
onchain,10,7,1979758,4554511,80068,532274,659.715400,582651,794.834800,615643,654.720300,69626,36.455700,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x265175f8664ac7ae179a8e62159aa889259157b2987d0dbb5a12206a9b0ded30
onchain,10,8,1979758,4554511,80068,532274,603.471500,582651,644.524000,615643,665.050800,69626,28.506000,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x2ea48a9e0917186f2df91cd17a5b770e9a10d416a2cf8631103db8684ffe3c85
onchain,10,9,1979758,4554511,80068,532322,635.407700,582687,672.595100,615679,702.962400,69626,37.321500,0x0d3e9eddb2b0d443cd6ef1cc606258b129409f0cb8f239b900b8793611bc456b,0x0253aac7279d25685043144c5b214afab607e1880b472bb69c6d7ab7ecb9690b
