thi_nghiem,run_id,iteration,warmup,d,k,mechanism,n,student_index,deploy_pool_gas,deploy_verifier_gas,update_root_gas,verify_gas,verify_onchain_ms,withdraw_gas,withdraw_ms,verify_record_gas,verify_record_ms,settle_gas,settle_ms,root,nullifier
theo_n,18,1,true,9,13,onchain,60,0,1979758,4554511,118668,532286,792.560700,582675,561.973400,615667,643.669300,69626,21.793300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0132b27cbf2a52517b1b012ddf72451ec2c65f79ea869e5307da210ba651cf0d
theo_n,18,2,true,9,13,onchain,60,1,1979758,4554511,118668,532262,525.296300,582639,561.492200,615631,595.740500,69626,26.922700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x08c60c725bde58df72fb6f3decfb702e1a9c09167fc97b346cf789cde0c27a59
theo_n,18,3,true,9,13,onchain,60,2,1979758,4554511,118668,532310,549.080200,582699,536.706900,615691,592.165200,69626,27.775800,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1430d39d506001656be7a9532ecf29fa361837c320c9666cdc661665998a61c4
theo_n,18,4,false,9,13,onchain,60,0,1979758,4554511,118668,532286,536.615800,582675,551.369000,615667,582.111800,69626,20.527100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0132b27cbf2a52517b1b012ddf72451ec2c65f79ea869e5307da210ba651cf0d
theo_n,18,5,false,9,13,onchain,60,1,1979758,4554511,118668,532262,553.276100,582639,564.804500,615631,616.422900,69626,19.636300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x08c60c725bde58df72fb6f3decfb702e1a9c09167fc97b346cf789cde0c27a59
theo_n,18,6,false,9,13,onchain,60,2,1979758,4554511,118668,532310,542.660300,582699,595.895800,615691,600.166000,69626,17.388400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1430d39d506001656be7a9532ecf29fa361837c320c9666cdc661665998a61c4
theo_n,18,7,false,9,13,onchain,60,3,1979758,4554511,118668,532334,562.269600,582723,591.580400,615715,669.829400,69626,27.156300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x077dada64438b9c0395d971d16c9351f69292ec7859d22e83931d734c0b87a5d
theo_n,18,8,false,9,13,onchain,60,4,1979758,4554511,118668,532310,518.240200,582699,606.693400,615691,586.284900,69626,21.164000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x18c3d54820b67a973ef03d79933a5bc94b7e4f79b24c1b78e8a01412bd44d05c
theo_n,18,9,false,9,13,onchain,60,5,1979758,4554511,118668,532286,563.555000,582675,588.337600,615667,616.668100,69626,21.444800,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x03388464e62d52dfa97c0cadba6780472c2d154b038cfbfdbed563f64d1126fe
theo_n,18,10,false,9,13,onchain,60,6,1979758,4554511,118668,532286,535.041200,582675,540.640600,615667,583.815000,69626,27.872300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0f4d68e4a2ea1f2e59b75210cb635a4288ae17c99a2bf5481c374659c82144af
theo_n,18,11,false,9,13,onchain,60,7,1979758,4554511,118668,532226,546.284100,582615,622.670700,615607,587.750300,69626,30.118100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x274c0cd86f85599bfb3ea976628853456383bc199a0adb095c2c933208e9a7ee
theo_n,18,12,false,9,13,onchain,60,8,1979758,4554511,118668,532346,541.752300,582723,630.174400,615715,573.452500,69614,25.276200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x25be1673f85b93d0a7a9dc09847796fec500caac2dfa35d913c4f491235ae993
theo_n,18,13,false,9,13,onchain,60,9,1979758,4554511,118668,532370,570.597000,582747,535.692800,615739,613.803900,69626,17.972100,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x13cedf12309258ffbdc374b0be6d21b167bf13ced50c97fe2a2c880ab2d1985e
theo_n,18,14,false,9,13,onchain,60,10,1979758,4554511,118668,532394,550.453000,582783,632.114000,615775,566.130200,69626,27.185700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1748d139c75a469f49f7f766bd0b28288b4a28b902b99d46cf0f752e25290b6e
theo_n,18,15,false,9,13,onchain,60,11,1979758,4554511,118668,532358,603.926000,582747,531.887100,615739,623.735200,69626,21.479400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x29a9dbf02cf662746c6ccd9dcc5a518e1f11c994df4fdf251c0cfb6e634e8bcb
theo_n,18,16,false,9,13,onchain,60,12,1979758,4554511,118668,532310,623.482000,582699,551.453900,615691,575.807600,69626,31.828400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1ad07f64e113e83c596459989bac9e701a8fd9025ba3877d75e5d3683012a7f0
theo_n,18,17,false,9,13,onchain,60,13,1979758,4554511,118668,532190,531.751100,582579,566.520000,615571,565.192300,69626,29.671900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x02e70ab10767ed357c86e5b61015fc3b6258c0292b2dd680a13999a419426d01
theo_n,18,18,false,9,13,onchain,60,14,1979758,4554511,118668,532322,539.121900,582711,589.195900,615703,600.920900,69626,32.879000,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0de4a45126e9aa6966291983d48a5f9f92dc9deacac3274ea965ef6536b58618
theo_n,18,19,false,9,13,onchain,60,15,1979758,4554511,118668,532274,522.407900,582663,573.625300,615655,621.360200,69626,22.322500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x10b62ce7bd23b3a4d6b3b0343421896f337530b567494e2f8e7b27fe6cd5e50f
theo_n,18,20,false,9,13,onchain,60,16,1979758,4554511,118668,532310,558.965300,582699,593.469600,615691,538.582700,69626,23.423300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x08967037cb23f68d2ac79838413ef7b4d51988fc9118cdbbceb9012986251969
theo_n,18,21,false,9,13,onchain,60,17,1979758,4554511,118668,532322,584.158500,582711,551.637200,615703,576.116800,69626,20.095700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x264ce116501f938a33b0de680d3f6f5ae9e3194bfe73918a57b0da409d565d08
theo_n,18,22,false,9,13,onchain,60,18,1979758,4554511,118668,532346,570.368000,582735,577.619000,615727,570.993600,69626,19.300300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x13547c0476fd9dd0a587c5bfa7a53c2e2d5b1c1d64b2640d7a957ebcb54d27c2
theo_n,18,23,false,9,13,onchain,60,19,1979758,4554511,118668,532274,541.496800,582663,572.739900,615655,617.089500,69626,24.900800,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x01863710d65682c8321e512dde21b3bb6ecdb240e83213e0da68b559341bdeb0
theo_n,18,24,false,9,13,onchain,60,20,1979758,4554511,118668,532334,559.650600,582723,599.701200,615715,595.257800,69626,21.089200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0c2d755f75c72cd3b7bc563e816c67e884bdd57f42a4a94de21c7e3b03bd82a3
theo_n,18,25,false,9,13,onchain,60,21,1979758,4554511,118668,532202,513.338600,582591,626.208700,615583,584.895600,69626,26.601700,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x01f5d2b4e4f8c68a9e738d4a923538feafe0ab990dc07343683c483fe31c6e72
theo_n,18,26,false,9,13,onchain,60,22,1979758,4554511,118668,532358,530.646200,582747,571.160400,615739,549.909100,69626,26.116200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x154fb5cafdcee2396fe03c6087eca1b26183b62bea7613231e62ac836b4352a1
theo_n,18,27,false,9,13,onchain,60,23,1979758,4554511,118668,532298,565.351500,582687,596.384500,615679,532.136200,69626,19.239400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x292331de52be84a82296f61768722d7bfd87e63c87fd356163c5a4d997fedeb7
theo_n,18,28,false,9,13,onchain,60,24,1979758,4554511,118668,532142,548.735600,582519,684.321300,615511,594.092300,69626,20.144900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2092fafeed5732d32aeb9e30526f6029e073d7d96ff47c8c6be558b33fc19196
theo_n,18,29,false,9,13,onchain,60,25,1979758,4554511,118668,532382,563.236200,582771,563.437300,615763,579.605700,69626,30.941400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x136a858a185e283b3950101c764611240511942b7d0b77665284320aad6dcebe
theo_n,18,30,false,9,13,onchain,60,26,1979758,4554511,118668,532262,527.124700,582651,561.880900,615643,652.163700,69626,30.543300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0a5ea1d829cba1d2a42c8e4887630c113efd2f70c0e0754eb253e1b04d3d8831
theo_n,18,31,false,9,13,onchain,60,27,1979758,4554511,118668,532322,577.300800,582711,565.270000,615703,600.276300,69626,29.598600,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0258135388cbb1164b3a35b6bfc0e345aca246e458289078a20604a1910f2f34
theo_n,18,32,false,9,13,onchain,60,28,1979758,4554511,118668,532346,544.587100,582735,676.671800,615727,643.576800,69626,22.366300,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1e050ec50125add55d533727a2b237935b08073969db5257e6b35abb0d71f063
theo_n,18,33,false,9,13,onchain,60,29,1979758,4554511,118668,532298,544.137500,582687,575.061100,615679,588.926500,69626,29.090400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2802fa5a32a7976911a399fb24b1323a266591724651a4a97769fbc10cbe0cdf
theo_n,18,34,false,9,13,onchain,60,30,1979758,4554511,118668,532262,540.854900,582651,561.486000,615643,603.705100,69626,21.782200,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x0b4c87eec2ec202c592dc3d0316934da848edfd63eedd9210cb74c70a012a787
theo_n,18,35,false,9,13,onchain,60,31,1979758,4554511,118668,532298,552.120800,582675,554.386900,615667,544.033500,69614,22.349400,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1171e148d9bc7d25c875cf6be9f735dd4617df391d51d400e44ab099769dc2ca
theo_n,18,36,false,9,13,onchain,60,32,1979758,4554511,118668,532286,549.168200,582675,556.083200,615667,611.104200,69626,20.980900,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x1e992e9c9ddca0f0a4d786bd7b4e9c6d825d9da4d5e0ece025345851b9c956f9
theo_n,18,37,false,9,13,onchain,60,33,1979758,4554511,118668,532334,583.572500,582711,586.531700,615703,586.229800,69614,28.850500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x2508af6734d9aa570046fdff112266890c3b474368fee11f4ebb0df351ac9ffc
theo_n,18,38,false,9,13,onchain,60,34,1979758,4554511,118668,532310,569.812700,582699,569.659700,615691,586.018200,69626,22.370500,0x07d66fb089ef322470bc90b30af018283fc0ee359488f475c464d8797765c4f6,0x25cd6d3e407e20cc101f3733a08136a6fc2ce1c4375fc8463fb4c0510672b7ce
